"num";"digimon";"dv10";"dv9";"dv8";"dv7";"dv6";"dv5";"dv4";"dv3";"dv2";"dv1";"exp"
"1";"Kunemon";"1";"0";"0";"0";"0";"2";"0";"3";"5";"99";"6"
"2";"Tapirmon";"1";"0";"0";"0";"0";"2";"0";"3";"5";"99";"5"
"3";"Betamon";"2";"0";"0";"0";"3";"4";"5";"6";"10";"99";"10"
"4";"Kuwagamon";"2";"0";"0";"0";"3";"4";"5";"6";"10";"99";"11"
"5";"Crabmon";"3";"0";"0";"4";"5";"6";"7";"10";"15";"99";"17"
"6";"Kiwimon";"3";"0";"0";"4";"5";"6";"7";"10";"15";"99";"15"
"7";"Yanmamon";"3";"0";"0";"4";"5";"6";"7";"10";"15";"99";"16"
"8";"Dokugumon";"4";"0";"5";"0";"6";"8";"10";"13";"20";"99";"21"
"9";"Gizamon";"4";"0";"5";"0";"6";"8";"10";"13";"20";"99";"19"
"10";"Goburimon";"4";"0";"5";"0";"6";"8";"10";"13";"20";"99";"22"
"11";"Vegiemon";"4";"0";"5";"0";"6";"8";"10";"13";"20";"99";"20"
"12";"Minotarumon";"5";"0";"6";"7";"8";"10";"12";"16";"25";"99";"27"
"13";"Woodmon";"5";"0";"6";"7";"8";"10";"12";"16";"25";"99";"25"
"14";"Airdramon";"6";"0";"7";"8";"10";"12";"15";"20";"30";"99";"29"
"15";"Triceramon";"6";"0";"7";"8";"10";"12";"15";"20";"30";"99";"30"
"16";"Tyrannomon";"6";"0";"7";"8";"10";"12";"15";"20";"30";"99";"31"
"17";"Cardmon (T1)";"7";"0";"8";"10";"11";"14";"17";"23";"35";"99";"35"
"18";"Coelamon";"8";"0";"10";"11";"13";"16";"20";"26";"40";"99";"40"
"19";"DemiDevimon";"8";"0";"10";"11";"13";"16";"20";"26";"40";"99";"39"
"20";"Gekomon";"8";"0";"10";"11";"13";"16";"20";"26";"40";"99";"41"
"21";"Yanmamon (Green)";"8";"0";"10";"11";"13";"16";"20";"26";"40";"99";"40"
"22";"Bakemon";"9";"10";"11";"12";"15";"18";"22";"30";"45";"99";"46"
"23";"RedVegiemon";"9";"10";"11";"12";"15";"18";"22";"30";"45";"99";"45"
"24";"Apemon";"10";"11";"12";"14";"16";"20";"25";"33";"99";"0";"50"
"25";"Cardmon (A1)";"12";"13";"15";"17";"20";"24";"30";"40";"99";"0";"60"
"26";"Seadramon";"12";"13";"15";"17";"20";"24";"30";"40";"99";"0";"58"
"27";"Flymon";"13";"14";"16";"18";"21";"26";"32";"43";"99";"0";"66"
"28";"Kokatorimon";"13";"14";"16";"18";"21";"26";"32";"43";"99";"0";"96"
"29";"Baronmon";"16";"17";"20";"22";"26";"32";"40";"99";"0";"0";"80"
"30";"Cardmon (T2)";"17";"18";"21";"24";"28";"34";"42";"99";"0";"0";"85"
"31";"Shellmon";"18";"20";"22";"25";"30";"36";"45";"99";"0";"0";"91"
"32";"Woodmon (Green)";"19";"21";"23";"27";"31";"38";"47";"99";"0";"0";"76"
"33";"Dolphmon";"20";"22";"25";"28";"33";"40";"99";"0";"0";"0";"98"
"34";"Etemon";"20";"22";"25";"28";"33";"40";"99";"0";"0";"0";"100"
"35";"Ogremon";"20";"22";"25";"28";"33";"40";"99";"0";"0";"0";"102"
"36";"ShogunGekomon";"20";"22";"25";"28";"33";"40";"99";"0";"0";"0";"101"
"37";"Airdramon (Gold)";"21";"23";"26";"30";"35";"42";"99";"0";"0";"0";"104"
"38";"Dokugumon (Brown";"21";"23";"26";"30";"35";"42";"99";"0";"0";"0";"105"
"39";"Goburimon (Red)";"22";"24";"27";"31";"36";"44";"99";"0";"0";"0";"112"
"40";"Kokatorimon (Brown)";"22";"24";"27";"31";"36";"44";"99";"0";"0";"0";"158"
"41";"Maildramon";"22";"24";"27";"31";"36";"44";"99";"0";"0";"0";"110"
"42";"Tuskmon";"22";"24";"27";"31";"36";"44";"99";"0";"0";"0";"112"
"43";"Vademon";"22";"24";"27";"31";"36";"44";"99";"0";"0";"0";"109"
"44";"Hagurumon";"23";"25";"28";"32";"38";"46";"99";"0";"0";"0";"117"
"45";"Mammothmon";"23";"25";"28";"32";"38";"46";"99";"0";"0";"0";"116"
"46";"Thundermon";"23";"25";"28";"32";"38";"46";"99";"0";"0";"0";"115"
"47";"Andromon";"24";"26";"30";"34";"40";"48";"99";"0";"0";"0";"120"
