Rookie;Target;Syarat1;Syarat2
Kotemon;Dinohumon;Kotemon lv 5;
Kotemon;Hookmon;Growlmon lv 20;
Kotemon;Grizzmon;Growlmon lv 30;Speed 280
Kotemon;Greymon;Dinohumon lv 20;
Kotemon;Ex-Veemon;Greymon lv 10;
Kotemon;Growlmon;Taomon lv 50;Fire 200
Kotemon;Kyubimon;Guardiangemon lv 20;
Kotemon;Angemon;Taomon lv 30;Wind 200
Kotemon;Devimon;Digitamamon lv 20;
Kotemon;Stingmon;Guardiangemon lv 10;
Kotemon;Angewomon;Taomon lv 20;Water 360
Kotemon;Kyukimon;Kotemon lv 20;
Kotemon;Armormon;Hookmon lv 50;
Kotemon;GrapLeomon;Grizzmon lv 50;
Kotemon;MetalGreymon;Greymon lv 40;Kotemon lv 15
Kotemon;SkullGreymon;Greymon lv 50;Dark 140
Kotemon;Paildramon;Ex-Veemon lv 5;Stingmon lv 5
Kotemon;Wargrowlmon;Growlmon lv 50;
Kotemon;Taomon;Kyubimon lv 40;
Kotemon;MagnaAngemon;Angemon lv 50;
Kotemon;Myotismon;Devimon lv 40;
Kotemon;Metal Mamemon;Kyukimon lv 20;Machine 140
Kotemon;Kabuterimon;Stingmon lv 40;
Kotemon;Digitamamon;Taomon lv 40;Wisdom 280
Kotemon;Guardiangemon;Kotemon lv 40;
Kotemon;Cannondramon;Armormon lv 99;
Kotemon;Marsmon;GrapLeomon lv 99;
Kotemon;Wargreymon;MetalGreymon lv 99;
Kotemon;Imperialdramon;Paildramon lv 50;
Kotemon;Gallantmon;Wargrowlmon lv 99;
Kotemon;Sakuyamon;Taomon lv 99;
Kotemon;Seraphimon;MagnaAngemon lv 99;
Kotemon;MetalGarurumon;Metal Mamemon lv 40;Machine 200
Kotemon;Rosemon;Angewomon lv 40;
Kotemon;BK Wargreymon;SkullGreymon lv 99;
Kotemon;Imperialdramon FM;Imperialdramon lv 99;
Kotemon;MaloMyotismon;Myotismon lv 99;
Kotemon;Mega Gargomon;MetalGarurumon lv 99;
Kotemon;GranKuwagamon;Imperialdramon lv 40;Kabuterimon lv 40
Kotemon;Phoenixmon;Rosemon lv 99;
Kotemon;Omnimon;Wargreymon lv 40;MetalGarurumon lv 40
Kotemon;Imperialdramon PM;Imperialdramon FM lv 40;Omnimon lv 40
Kotemon;Beelzemon;MaloMyotismon lv 40;Gallantmon lv 40
Kotemon;Diaboromon;GranKuwagamon lv 99;BK Wargreymon lv 99
Kumamon;Dinohumon;MetalGreymon lv 30;
Kumamon;Hookmon;Kabuterimon lv 20;
Kumamon;Grizzmon;Kumamon lv 5;
Kumamon;Greymon;Wargrowlmon lv 20;Fire 200
Kumamon;Ex-Veemon;Kyubimon lv 10;
Kumamon;Growlmon;Marsmon lv 20;Power 480
Kumamon;Kyubimon;Grizzmon lv 20;Spirit 80
Kumamon;Angemon;Myotismon lv 20;Wind 280
Kumamon;Devimon;Marsmon lv 10;
Kumamon;Stingmon;Marsmon lv 30;Speed 400
Kumamon;Angewomon;Angemon lv 20;Water 280
Kumamon;Kyukimon;Dinohumon lv 50;
Kumamon;Armormon;Hookmon lv 50;
Kumamon;GrapLeomon;Kumamon lv 20;
Kumamon;MetalGreymon;Greymon lv 40;
Kumamon;SkullGreymon;Greymon lv 50;Dark 160
Kumamon;Paildramon;Ex-Veemon lv 5;Stingmon lv 5
Kumamon;Wargrowlmon;Growlmon lv 50;
Kumamon;Taomon;Kyubimon lv 40;Kumamon lv 15
Kumamon;MagnaAngemon;Angemon lv 50;
Kumamon;Myotismon;Devimon lv 50;
Kumamon;Metal Mamemon;GrapLeomon lv 20;Machine 150
Kumamon;Kabuterimon;Stingmon lv 50;
Kumamon;Digitamamon;Grizzmon lv 30;Wisdom 80
Kumamon;Guardiangemon;Kyukimon lv 99;
Kumamon;Cannondramon;Armormon lv 99;
Kumamon;Marsmon;Kumamon lv 40;
Kumamon;Wargreymon;MetalGreymon lv 99;
Kumamon;Imperialdramon;Paildramon lv 50;
Kumamon;Gallantmon;Wargrowlmon lv 99;
Kumamon;Sakuyamon;Taomon lv 99;
Kumamon;Seraphimon;MagnaAngemon lv 99;
Kumamon;MetalGarurumon;Metal Mamemon lv 40;Machine 200
Kumamon;Rosemon;Angewomon lv 40;
Kumamon;BK Wargreymon;SkullGreymon lv 99;
Kumamon;Imperialdramon FM;Imperialdramon lv 99;
Kumamon;MaloMyotismon;Myotismon lv 99;
Kumamon;Mega Gargomon;MetalGarurumon lv 99;
Kumamon;GranKuwagamon;Imperialdramon lv 40;Kabuterimon lv 40
Kumamon;Phoenixmon;Rosemon lv 99;
Kumamon;Omnimon;Wargreymon lv 40;MetalGarurumon lv 40
Kumamon;Imperialdramon PM;Imperialdramon FM lv 40;Omnimon lv 40
Kumamon;Beelzemon;MaloMyotismon lv 40;Gallantmon lv 40
Kumamon;Diaboromon;GranKuwagamon lv 99;BK Wargreymon lv 99
