name;level;exp
Agumon;1;0
Agumon;2;11
Agumon;3;33
Agumon;4;71
Agumon;5;180
Agumon;6;267
Agumon;7;385
Agumon;8;542
Agumon;9;742
Agumon;10;990
Agumon;11;1293
Agumon;12;1654
Agumon;13;2081
Agumon;14;2578
Agumon;15;3150
Agumon;16;3804
Agumon;17;4543
Agumon;18;5375
Agumon;19;6304
Agumon;20;8085
Agumon;21;9225
Agumon;22;10477
Agumon;23;11849
Agumon;24;13345
Agumon;25;14970
Agumon;26;16731
Agumon;27;18631
Agumon;28;20678
Agumon;29;22876
Agumon;30;25230
Agumon;31;27747
Agumon;32;30430
Agumon;33;33287
Agumon;34;36322
Agumon;35;39540
Agumon;36;42948
Agumon;37;46549
Agumon;38;50351
Agumon;39;54358
Agumon;40;60775
Agumon;41;65209
Agumon;42;69863
Agumon;43;74745
Agumon;44;79859
Agumon;45;85210
Agumon;46;90805
Agumon;47;96647
Agumon;48;102744
Agumon;49;109100
Agumon;50;115720
Agumon;51;122611
Agumon;52;129776
Agumon;53;137223
Agumon;54;144956
Agumon;55;152980
Agumon;56;161302
Agumon;57;169925
Agumon;58;178857
Agumon;59;188102
Agumon;60;197665
Agumon;61;207553
Agumon;62;217769
Agumon;63;228321
Agumon;64;239213
Agumon;65;250450
Agumon;66;262039
Agumon;67;273983
Agumon;68;286290
Agumon;69;298964
Agumon;70;312010
Agumon;71;325435
Agumon;72;339242
Agumon;73;353439
Agumon;74;368030
Agumon;75;383020
Agumon;76;398416
Agumon;77;414221
Agumon;78;430443
Agumon;79;447086
Agumon;80;464155
Agumon;81;481657
Agumon;82;499595
Agumon;83;517977
Agumon;84;536807
Agumon;85;556090
Agumon;86;575833
Agumon;87;596039
Agumon;88;616716
Agumon;89;637868
Agumon;90;659500
Agumon;91;681619
Agumon;92;704228
Agumon;93;727335
Agumon;94;750944
Agumon;95;775060
Agumon;96;799690
Agumon;97;824837
Agumon;98;850509
Agumon;99;876710
Guilmon;1;0
Guilmon;2;9
Guilmon;3;26
Guilmon;4;55
Guilmon;5;151
Guilmon;6;219
Guilmon;7;311
Guilmon;8;433
Guilmon;9;588
Guilmon;10;781
Guilmon;11;1017
Guilmon;12;1298
Guilmon;13;1630
Guilmon;14;2016
Guilmon;15;2461
Guilmon;16;2970
Guilmon;17;3545
Guilmon;18;4192
Guilmon;19;4914
Guilmon;20;6466
Guilmon;21;7353
Guilmon;22;8327
Guilmon;23;9394
Guilmon;24;10557
Guilmon;25;11821
Guilmon;26;13191
